,pilot,archetype,card,total,loc
0,"Miller, Casey",Jeskai Control,"Beza, the Bounding Spring",4,main
1,"Miller, Casey",Jeskai Control,Cori Mountain Monastery,1,main
2,"Miller, Casey",Jeskai Control,Day of Judgment,1,main
3,"Miller, Casey",Jeskai Control,Dispelling Exhale,2,main
4,"Miller, Casey",Jeskai Control,Lightning Helix,4,main
5,"Miller, Casey",Jeskai Control,Floodfarm Verge,4,main
6,"Miller, Casey",Jeskai Control,Marang River Regent // Coil and Catch,2,main
7,"Miller, Casey",Jeskai Control,Sunbillow Verge,4,main
8,"Miller, Casey",Jeskai Control,Riverpyre Verge,2,main
9,"Miller, Casey",Jeskai Control,Island,1,main
10,"Miller, Casey",Jeskai Control,Split Up,1,main
11,"Miller, Casey",Jeskai Control,"Shiko, Paragon of the Way",4,main
12,"Miller, Casey",Jeskai Control,Stock Up,4,main
13,"Miller, Casey",Jeskai Control,Temporary Lockdown,4,main
14,"Miller, Casey",Jeskai Control,Three Steps Ahead,2,main
15,"Miller, Casey",Jeskai Control,Thundering Falls,3,main
16,"Miller, Casey",Jeskai Control,Plains,3,main
17,"Miller, Casey",Jeskai Control,Mistrise Village,1,main
18,"Miller, Casey",Jeskai Control,Get Lost,3,main
19,"Miller, Casey",Jeskai Control,Parting Gust,1,main
20,"Miller, Casey",Jeskai Control,Roiling Dragonstorm,2,main
21,"Miller, Casey",Jeskai Control,Meticulous Archive,4,main
22,"Miller, Casey",Jeskai Control,Elegant Parlor,3,main
23,"Miller, Casey",Jeskai Control,Zurgo and Ojutai,1,side
24,"Miller, Casey",Jeskai Control,Lithomantic Barrage,2,side
25,"Miller, Casey",Jeskai Control,Obstinate Baloth,2,side
26,"Miller, Casey",Jeskai Control,Kutzil's Flanker,3,side
27,"Miller, Casey",Jeskai Control,Tishana's Tidebinder,2,side
28,"Miller, Casey",Jeskai Control,Negate,2,side
29,"Miller, Casey",Jeskai Control,Exorcise,1,side
30,"Miller, Casey",Jeskai Control,Pyroclasm,1,side
31,"Miller, Casey",Jeskai Control,Authority of the Consuls,1,side
0,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Spell Pierce,2,main
1,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Spirebluff Canal,4,main
2,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Glacial Dragonhunt,1,main
3,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Marauding Mako,4,main
4,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Abhorrent Oculus,4,main
5,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Fear of Missing Out,4,main
6,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Inspiring Vantage,4,main
7,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Adarkar Wastes,2,main
8,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Steamcore Scholar,4,main
9,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Proft's Eidetic Memory,4,main
10,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Into the Flood Maw,1,main
11,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Island,1,main
12,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Battlefield Forge,2,main
13,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Shivan Reef,4,main
14,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Seachrome Coast,4,main
15,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Mountain,1,main
16,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Torch the Tower,3,main
