,pilot,mp,archetype,deck_uuid,place
0,Casey Miller,46,Jeskai Control,caa0e156-f675-47bb-95c4-b2d1011b5d20,1
1,Michael DeBenedetto-Plummer,44,Jeskai Oculus,7d1634e2-f9ee-4c60-be52-b2d0017ce669,2
2,Justin Parente,42,Izzet Prowess,d458edd3-955a-4589-b105-b2d1009bf49a,3
3,Gregory Johnson,40,Azorius Omniscience,260d0595-4774-4444-86fb-b2d100ef47ca,4
4,Gabriel Nicholas,38,Jeskai Oculus,6bce08b8-69bd-4d4d-a144-b2d1012b81bc,5
5,Jennifer Wang,37,Azorius Omniscience,d867868a-7b36-4dcf-94ad-b2d101242a09,6
6,Jacob Durish,37,Izzet Prowess,7b64685f-185d-41f6-baa9-b2d1014c62c5,7
7,Tyler Stechman,36,Azorius Omniscience,b42805e3-2491-47df-93f1-b2d1013468c2,8
8,Minh Nguyen,36,Jeskai Oculus,7383fd0e-a1d7-4abf-ab50-b2d1014fee74,9
9,Matt Xu,36,Izzet Prowess,c9d12b7c-84fa-4ecf-a25e-b2d10137329c,10
10,Raymond Sainz,36,Izzet Prowess,934a5182-9b3f-4219-871d-b2d1014c1828,11
11,Jacob Milchman,36,Izzet Prowess,87c21129-5292-4dd9-8bfd-b2d100f604fd,12
12,Emmett Neyman,36,Zur Overlords,b45cded2-389c-444a-bb90-b2d0011e3d45,13
13,Garrett Bryan,36,Zur Overlords,4912f250-4892-4aa2-abc2-b2d1014e78e7,14
14,Xander Naumenko,36,Esper Pixie,baed4562-e1d7-44a9-aa69-b2d10154529a,15
15,Amber Thurlow,34,Izzet Prowess,65915020-39da-453f-9243-b2d101559967,16
16,SKreimendahl,34,Orzhov Pixie,961f0d75-2227-4e3e-82d8-b2d10134180b,17
17,David Dufour,34,Izzet Prowess,f56ecde2-f43e-4e6e-b40e-b2b4003fcb90,18
18,Koby Keller,34,Izzet Prowess,57b0b083-7dc3-4737-a3a2-b2d100339ad6,19
19,Max Milechman,34,Izzet Prowess,8582ce23-24ed-4833-b4ea-b2cc0162615a,20
20,FleshEatinGnome,34,Jeskai Control,8755c16d-8de8-4509-b8bb-b2d10110e2f1,21
21,Kenith Dsouza,34,Jeskai Oculus,cc034d4c-f5c1-4c3d-8269-b2d10176c093,22
22,ch4rm2nd0r,34,Mono-Red Aggro,33786942-fcf9-4019-8708-b2b200492fdd,23
23,Caz Rodriguez,34,Mono-Black Demons,6da68644-74cb-40c4-9442-b2d1015f23d6,24
24,Lucca LiPuma,34,Izzet Prowess,d103af0b-a39f-463a-91c9-b2ce016d7c73,25
25,Abe Schnake,34,Izzet Prowess,27f7879c-91e6-41d8-8871-b2d00128f5d8,26
26,Collins Mullen,34,Izzet Prowess,2355fefb-1471-4dc9-8319-b2d10161965d,27
27,Max Rappaport,34,Dimir Midrange,58f22969-ce03-4de0-913f-b2bf000c77b9,28
28,LaneS,34,Izzet Prowess,fc39f447-94af-4f05-ae4e-b2d1012ccd3e,29
29,Luna Eason,34,Izzet Prowess,d5ac4a14-83ce-4281-b899-b2d100de6283,30
30,Daniel Spiegel,34,Izzet Prowess,f445dc81-45fd-4bcf-9ebe-b2d100d48ffb,31
31,Jia Wu,34,Jeskai Control,e4bb0abf-d2ae-4e06-a6e9-b2ce0050dcc7,32
32,Jacob Rabaey,34,Jeskai Oculus,cf1c778c-3bd4-4b24-a999-b2d1002d3624,33
33,Roman Fusco,34,Jeskai Control,5e4ef8c1-6a72-4fd6-b7d8-b2d00050d5ba,34
34,ThumbThumb,33,Jeskai Oculus,768f98f6-6ead-46e2-b438-b2d1016219f1,35
35,Connor Mackenzie,33,Izzet Prowess,27c24e36-ce0e-446c-8712-b2ca0146518b,36
36,Julius Fan,33,Jeskai Control,681acf60-4b69-4aec-a3a6-b2d100f17f91,37
37,Noah Bailyn,33,Azorius Omniscience,481830ea-c66d-4772-9b21-b2d1011f9a8d,38
38,TheDuckButt,33,Mardu Pixie,819c7607-ca2d-4876-bb3d-b2cf0157bac8,39
39,James Moskal,33,Izzet Prowess,302d4885-e342-487c-a2a6-b2d10161e23a,40
40,Cole Weinstein,33,Gruul Mice,2c161f9e-d2ae-47bc-90e1-b2d100dc0511,41
41,Mark Stanton,33,Izzet Prowess,b552121f-4f97-4bba-99ef-b2d100d6c51a,42
42,kalebw,33,Izzet Prowess,15194cd2-2534-47af-9b39-b2d200d220a1,43
43,Maverick Finn,33,Izzet Prowess,dd37ee1b-649c-49db-b200-b2ce0025549e,44
44,Michael Byrd,33,Izzet Prowess,d7d601dc-2a36-43b3-9ceb-b2d100433b23,45
45,VicWood,33,Esper Pixie,687653f5-f8a5-420d-aefa-b2d100e9ad32,46
46,Nathaniel Wilson,33,Mono-Red Aggro,cdb7bb53-071a-46a1-95cf-b2d1014e6b83,47
47,John Proctor,33,Izzet Prowess,1b6c192a-0e55-46dc-8460-b2d10161535a,48
48,Evariel,33,Azorius Omniscience,428877ed-34aa-4683-b3b7-b2d100fe9f06,49
49,Levi White,33,Dimir Demons,c99e6293-89d4-44e9-8bb4-b2d1016acd12,50
50,Damian Del Nero,33,Zur Overlords,afbf90d3-b2b7-447b-bf77-b2d1002862cb,51
51,Andrew Elenbogen,33,Izzet Prowess,dd08f8fa-a122-44cc-93c8-b2d0005a6f33,52
52,Michael Bearmon,33,Mono-Red Aggro,76a48af6-d271-4cde-a398-b2b1010c5c18,53
53,Andrejs Prost,33,Izzet Prowess,de4a8764-7307-4f23-943d-b2d100c32ba3,54
54,Alfonso Concha,33,Izzet Prowess,6a5c88f1-a4b7-4299-af45-b2d1017e04db,55
55,Austin Clark,33,Izzet Prowess,94ea4bc0-af1d-4390-af41-b2d100f69c0d,56
56,James Newman,32,Izzet Prowess,68d75acd-d4fc-4572-b4e8-b2d1013f2183,57
57,Aaron Ward,31,Zur Overlords,cd45cc9e-08c6-4a08-b524-b2d100f2f6a9,58
58,Daniel Seidl,31,Izzet Prowess,aca08668-efeb-43ed-9f67-b2d10049b5cc,59
59,Andrew Hakenewerth,31,Izzet Prowess,9450f3a2-4713-430c-8805-b2d10159fcac,60
60,Casey Moon,31,Zur Overlords,fe99b8ff-f1d6-4a80-8b09-b2d0002a6e6a,61
61,Christian Hollweg,31,Jeskai Oculus,f9d8a48c-14ae-40a5-8ecd-b2d000f4a05e,62
62,Sanggu Lee,31,Mono-Black Demons,32de61e3-6d95-4d33-9a25-b2d0012ec5d1,63
63,Ben Smith,31,Orzhov Pixie,c9025941-b322-40f0-8c52-b2d10125375d,64
64,csei2301,31,Azorius Control,91857908-c534-4bde-8d16-b2d100fa2f37,65
65,NiHaoDyLan,31,Mono-Red Aggro,922d068b-c9fb-476f-8894-b2d101749318,66
66,Adam Brace,31,Izzet Prowess,390e4b4f-5d23-499b-b1df-b2d1016b14ad,67
67,Alexander Lim,31,Zur Overlords,189588d3-9a5a-435e-81ff-b2ce006139f7,68
68,William Dou,31,Zur Overlords,cf0c409c-d10a-4167-a8c7-b2d1013225f8,69
69,The1337Troll,31,Izzet Prowess,058cd256-103d-4e11-b38f-b2d100d11c5d,70
70,Scott Markeson,31,Jeskai Oculus,4b808442-f3c3-429a-b737-b2d10158e4df,71
71,Ryan Bellamy,31,Izzet Prowess,a9dbe2fb-dedf-4955-b84e-b2d00182a92f,72
72,Matthew Hanifan,31,Jeskai Oculus,d47bbfea-a439-461c-8d84-b2d1015744aa,73
73,Andrew Wolbers,31,Zur Overlords,c598f601-b34e-4c46-936b-b2d10167d0f2,74
74,Raja Sulaiman,31,Orzhov Midrange,732c8213-ce2c-4164-ab11-b2d10153e3be,75
75,Andy Garcia-Romo,31,Izzet Prowess,a7beaf42-6a7d-4974-a260-b2d101643f02,76
76,David Johnson,31,Jeskai Oculus,2d38c6ff-f5f7-4bab-b729-b2d1012bc8dd,77
77,Ryan Simmons,31,Izzet Prowess,c4e5a250-8624-4101-a90e-b2d10146f48a,78
78,Mitch Mazzei,31,Izzet Prowess,9b08175e-31cc-46f4-9ae3-b2d10086dc74,79
79,Taylor Laehn,31,Azorius Control,c9f80501-c620-4117-b7f6-b2d10128f351,80
80,Charlie Drevecky,31,Izzet Prowess,bad3a703-51f4-4666-951e-b2d1011ab0ab,81
81,Bach Chau,31,Izzet Prowess,43a6faf5-9c85-4c16-b656-b2d10168b976,82
82,Alexander Beebe,31,Zur Overlords,d208481a-773c-4c75-a540-b2d10139fb78,83
83,nathanb1992,31,Jeskai Oculus,fd98bf86-5899-4e3d-8bf2-b2d101107775,84
84,Michael Bernat,31,Izzet Prowess,19a5ae3b-7d65-4579-bfad-b2cf018102da,85
85,Jacob Falcon,31,Izzet Prowess,57a57b62-60ea-4f20-8334-b2ce000dc91e,86
86,Sam Bogue,31,Izzet Prowess,a9796149-5d0e-4c94-b61c-b2d00016e83d,87
87,ricky linn,31,Golgari Roots,0b4d1390-5cf9-4027-837c-b2d00064f0db,88
88,Rayton Espiritu,30,Izzet Prowess,0da77a5f-e643-41a1-932b-b2cd004ec4c8,89
89,Bassel Nasri,30,Jeskai Oculus,d39a954a-72d6-4336-acfc-b2d10121add8,90
90,ChrisCast,30,Mono-Red Aggro,8638b814-e2a3-4be0-aa2d-b2d0013730ba,91
91,dahun,30,Izzet Prowess,7b066cc2-c9f7-4e63-974c-b2d000face93,92
92,Griffin Berschauer,30,Izzet Prowess,45d2bd25-cc64-4d6c-92cd-b2d101676c8f,93
93,MosheMann,30,Orzhov Pixie,1f41dd01-7e4c-43b9-b1c9-b2d100cb86e2,94
94,Nate Muhlbach,30,Izzet Prowess,76b171ac-51bc-401b-b6be-b2d0010c7c3c,95
95,Max Medeiros,30,Mono-Red Aggro,d69966c3-4808-4875-a036-b2d101083f4a,96
96,Tyler Smalley,30,Gruul Mice,6d01428e-cbb8-4c98-bcff-b2d101673a2f,97
97,William Thompson,30,Jeskai Oculus,cb94f508-a946-476b-befc-b2d0003360d2,98
98,Talonflame23185,30,Azorius Omniscience,399309bc-7c89-4fa1-80c6-b2d00184c23f,99
99,ChaseM,30,Sultai Beanstalk,cb7d4efe-c9ba-4462-a0fb-b2d1014e49eb,100
100,Michael Raff,30,Izzet Prowess,9c4d973e-5eeb-4a4b-8000-b2d10165c050,101
101,Slater Claudel,30,Mono-Black Demons,c7f9d094-110d-4a1e-9a5a-b2d100d94258,102
102,Christian Calcano,30,Izzet Prowess,ec161fce-89c4-4108-bc6a-b2d1013108b7,103
103,Jake Coenen,30,Izzet Prowess,42d72502-1f4b-4edb-b19a-b2d00185204f,104
104,Joseph Puglisi,30,Mono-Black Demons,7e7ff43e-8565-4078-964c-b2d00171fc6a,105
105,Branden Chambers,30,Izzet Prowess,8a51b095-db3e-4b30-98ab-b2d100cd9804,106
